Date,Strike Price,Maturity (days),Option Type,Premium
2023-01-02,90,30,Put,0.6966461325847604
2023-01-03,90,30,Put,0.6631943073304871
2023-01-04,90,30,Put,0.6710722217890872
2023-01-05,90,30,Put,0.6292942447207768
2023-01-06,90,30,Put,0.5404268417090741
2023-01-09,90,30,Put,0.5523804340052383
2023-01-10,90,30,Put,0.5645469766226761
2023-01-11,90,30,Call,12.536293619175169
2023-01-12,90,30,Call,12.90196080227716
2023-01-13,90,30,Put,0.4644949515975956
2023-01-16,90,30,Put,0.4383615211230776
2023-01-17,90,30,Call,12.741273092057668
2023-01-18,90,30,Call,12.53170472946502
2023-01-19,90,30,Call,12.65156209311786
2023-01-20,90,30,Call,11.779692938117975
2023-01-23,90,30,Put,0.6709747523909471
2023-01-24,90,30,Put,0.7070307574880381
2023-01-25,90,30,Call,10.345645574541663
2023-01-26,90,30,Put,0.7531148786767474
2023-01-27,90,30,Call,10.105990531182215
2023-01-30,90,30,Call,9.521813428269766
2023-01-31,90,30,Call,10.141990487830412
2023-02-01,90,30,Put,0.8279567993385974
2023-02-02,90,30,Call,10.088229148645823
2023-02-03,90,30,Put,0.934111723619246
2023-02-06,90,30,Call,9.282730914517103
2023-02-07,90,30,Call,9.334435059027669
2023-02-08,90,30,Put,1.0701312005415353
2023-02-09,90,30,Call,9.032788686997023
2023-02-10,90,30,Call,8.798931145342621
2023-02-13,90,30,Put,1.1145564775640118
2023-02-14,90,30,Put,1.171974523735038
2023-02-15,90,30,Put,0.9964432823997456
2023-02-16,90,30,Put,0.9962447439762165
2023-02-17,90,30,Put,1.0914458916261296
2023-02-20,90,30,Call,9.121442388470854
2023-02-21,90,30,Put,1.126567437987898
2023-02-22,90,30,Put,1.1049598251234976
2023-02-23,90,30,Call,7.976787859089896
2023-02-24,90,30,Put,1.4506192091516006
2023-02-27,90,30,Call,7.566347879189806
2023-02-28,90,30,Put,1.3405643452325506
2023-03-01,90,30,Put,1.320004907901911
2023-03-02,90,30,Call,7.879350327325085
2023-03-03,90,30,Call,7.772463308178075
2023-03-06,90,30,Call,7.236514866441183
2023-03-07,90,30,Call,6.985793743741766
2023-03-08,90,30,Call,6.82984101484351
2023-03-09,90,30,Put,1.5429636495000096
2023-03-10,90,30,Put,1.499354844402479
2023-03-13,90,30,Call,6.720566566082638
2023-03-14,90,30,Call,6.838476316470235
2023-03-15,90,30,Call,6.710383918075905
2023-03-16,90,30,Put,0.546460148650656
2023-03-17,90,30,Put,1.7285278888544404
2023-03-20,90,30,Call,7.064882169004598
2023-03-21,90,30,Put,1.4774716918075015
2023-03-22,90,30,Call,7.1088015850855015
2023-03-23,90,30,Call,7.0047297699739985
2023-03-24,90,30,Put,1.571024232380033
2023-03-27,90,30,Call,7.48602847060944
2023-03-28,90,30,Call,7.317431676542881
2023-03-29,90,30,Put,1.5270045563237886
2023-03-30,90,30,Call,6.869243159624737
2023-03-31,90,30,Call,5.193235058243644
2023-04-03,90,30,Call,6.746766327621195
2023-04-04,90,30,Put,1.5356363027525362
2023-04-05,90,30,Call,7.210471460578447
2023-04-06,90,30,Put,1.4212328402907772
2023-04-07,90,30,Put,1.3781675847799235
2023-04-10,90,30,Call,7.48855967315626
2023-04-11,90,30,Put,1.4068413507827557
2023-04-12,90,30,Put,1.2370807505022618
2023-04-13,90,30,Call,8.205054675203371
2023-04-14,90,30,Call,8.822702671796819
2023-04-17,90,30,Call,7.817039126731174
2023-04-18,90,30,Call,8.133853433647928
2023-04-19,90,30,Put,1.2478568019180045
2023-04-20,90,30,Put,1.27778761130838
2023-04-21,90,30,Put,1.2663646526322978
2023-04-24,90,30,Call,7.371948457273092
2023-04-25,90,30,Call,7.2981143514835765
2023-04-26,90,30,Call,7.433414306411322
2023-04-27,90,30,Call,7.988501663801344
2023-04-28,90,30,Put,1.3545376419630166
2023-05-01,90,30,Put,1.4449878174635629
2023-05-02,90,30,Put,1.5026051799592928
2023-05-03,90,30,Call,7.6700154182099
2023-05-04,90,30,Put,1.3548832908297825
2023-05-05,90,30,Call,7.607313906212028
2023-05-08,90,30,Put,1.353212730828531
2023-05-09,90,30,Put,1.340699981728882
2023-05-10,90,30,Put,1.2351702082847886
2023-05-11,90,30,Call,7.958357451088688
2023-05-12,90,30,Call,7.840956169907372
2023-05-15,90,30,Put,1.3843426562242662
2023-05-16,90,30,Put,1.5555275678046314
2023-05-17,90,30,Call,7.284625690386989
2023-05-18,90,30,Put,1.4841440526292473
2023-05-19,90,30,Call,7.39242768467669
2023-05-22,90,30,Call,7.313091543257229
2023-05-23,90,30,Put,1.6836616281019197
2023-05-24,90,30,Put,1.737173113638562
2023-05-25,90,30,Call,5.309655261773642
2023-05-26,90,30,Put,0.5955172229903063
2023-05-29,90,30,Put,0.6090302461474906
2023-05-30,90,30,Call,5.109883342852754
2023-05-31,90,30,Call,7.047560438333726
2023-06-01,90,30,Call,7.115183800029627
2023-06-02,90,30,Call,7.212896111676045
2023-06-05,90,30,Put,1.5489004144672762
2023-06-06,90,30,Put,0.535590748465296
2023-06-07,90,30,Call,5.262869404537341
2023-06-08,90,30,Call,5.292671796368921
2023-06-09,90,30,Put,1.4715136577225785
2023-06-12,90,30,Call,7.359324276643008
2023-06-13,90,30,Put,1.4549224121713138
2023-06-14,90,30,Put,1.4571507138880264
2023-06-15,90,30,Put,1.5974092007998095
2023-06-16,90,30,Put,1.456487501541595
2023-06-19,90,30,Put,1.3683093387253358
2023-06-20,90,30,Put,1.2799920577704533
2023-06-21,90,30,Put,1.3780817837313535
2023-06-22,90,30,Call,8.25802918347513
2023-06-23,90,30,Call,7.7331642150118824
2023-06-26,90,30,Call,7.959180842830946
2023-06-27,90,30,Call,8.814803108794223
2023-06-28,90,30,Put,1.1792773990712355
2023-06-29,90,30,Put,1.2355088408449149
2023-06-30,90,30,Call,8.262946272677894
2023-07-03,90,30,Put,1.2746686719177909
2023-07-04,90,30,Call,7.502770992563569
2023-07-05,90,30,Put,1.4361652463351398
2023-07-06,90,30,Call,7.1545670163787705
2023-07-07,90,30,Put,1.5020675470564022
2023-07-10,90,30,Call,7.007359772837738
2023-07-11,90,30,Call,7.572232617006051
2023-07-12,90,30,Call,7.292410831852408
2023-07-13,90,30,Put,1.552183411790061
2023-07-14,90,30,Call,7.482467903162302
2023-07-17,90,30,Call,7.044867998549982
2023-07-18,90,30,Call,7.1313245655141415
2023-07-19,90,30,Call,7.611474822419709
2023-07-20,90,30,Call,7.035788376816782
2023-07-21,90,30,Put,1.578343463893674
2023-07-24,90,30,Call,7.205418274144847
2023-07-25,90,30,Call,7.494487250748364
2023-07-26,90,30,Call,7.054348559748924
2023-07-27,90,30,Put,0.5178115164205579
2023-07-28,90,30,Put,1.6954601062507066
2023-07-31,90,30,Call,6.8942698943702965
2023-08-01,90,30,Call,6.987844566346155
2023-08-02,90,30,Put,1.5750850975849566
2023-08-03,90,30,Call,6.881726541042852
2023-08-04,90,30,Put,1.6275322857894778
2023-08-07,90,30,Put,1.588503540533548
2023-08-08,90,30,Put,1.677782043307836
2023-08-09,90,30,Put,1.4453185013401715
2023-08-10,90,30,Call,7.685447593314166
2023-08-11,90,30,Put,1.5271401842061358
2023-08-14,90,30,Call,7.499888792546727
2023-08-15,90,30,Call,7.152939395118288
2023-08-16,90,30,Call,7.442815795284417
2023-08-17,90,30,Call,7.8777815686243855
2023-08-18,90,30,Put,1.4221264308941812
2023-08-21,90,30,Call,7.94339237932374
2023-08-22,90,30,Call,8.10598869487957
2023-08-23,90,30,Put,1.17996838789961
2023-08-24,90,30,Call,9.188705486113633
2023-08-25,90,30,Call,9.095772252205279
2023-08-28,90,30,Call,8.800192604940065
2023-08-29,90,30,Call,8.456395145018902
2023-08-30,90,30,Call,8.147574074123966
2023-08-31,90,30,Put,1.261342452752558
2023-09-01,90,30,Call,8.26098175620099
2023-09-04,90,30,Call,8.373973674465944
2023-09-05,90,30,Put,1.1110799377239715
2023-09-06,90,30,Put,1.108325579513199
2023-09-07,90,30,Put,0.9743937862033647
2023-09-08,90,30,Call,9.20436602394524
2023-09-11,90,30,Call,10.34627458058435
2023-09-12,90,30,Put,0.7312114743928699
2023-09-13,90,30,Call,10.260743058946858
2023-09-14,90,30,Put,0.8720708209739243
2023-09-15,90,30,Call,10.02424152779004
2023-09-18,90,30,Call,9.936672701608018
